Test_Type,Parameter_Value,Parameter_Unit,Time_ms
Test_1_FileSize,297.0,KB,252.0312
Test_1_FileSize,298.0,KB,252.8125
Test_1_FileSize,299.0,KB,253.5938
Test_1_FileSize,300.0,KB,254.3750
Test_1_FileSize,301.0,KB,255.1563
Test_1_FileSize,302.0,KB,255.9375
Test_1_FileSize,303.0,KB,256.7188
Test_1_FileSize,304.0,KB,257.5000
Test_1_FileSize,305.0,KB,258.2812
Test_1_FileSize,306.0,KB,259.0625
Test_1_FileSize,307.0,KB,259.8438
Test_1_FileSize,308.0,KB,260.6250
Test_1_FileSize,309.0,KB,261.4062
Test_1_FileSize,310.0,KB,262.1875
Test_1_FileSize,311.0,KB,262.9688
Test_1_FileSize,312.0,KB,263.7500
Test_1_FileSize,313.0,KB,264.5312
Test_1_FileSize,314.0,KB,265.3125
Test_1_FileSize,315.0,KB,266.0938
Test_1_FileSize,316.0,KB,266.8750
Test_1_FileSize,317.0,KB,267.6562
Test_1_FileSize,318.0,KB,268.4375
Test_1_FileSize,319.0,KB,269.2188
Test_1_FileSize,320.0,KB,270.0000
Test_1_FileSize,321.0,KB,270.7813
Test_1_FileSize,322.0,KB,271.5625
Test_1_FileSize,323.0,KB,272.3438
Test_1_FileSize,324.0,KB,273.1250
Test_1_FileSize,325.0,KB,273.9062
Test_1_FileSize,326.0,KB,274.6875
Test_1_FileSize,327.0,KB,275.4688
Test_1_FileSize,328.0,KB,276.2500
Test_1_FileSize,329.0,KB,277.0312
Test_1_FileSize,330.0,KB,277.8125
Test_1_FileSize,331.0,KB,278.5938
Test_1_FileSize,332.0,KB,279.3750
Test_1_FileSize,333.0,KB,280.1562
Test_1_FileSize,334.0,KB,280.9375
Test_1_FileSize,335.0,KB,281.7188
Test_1_FileSize,336.0,KB,282.5000
Test_1_FileSize,337.0,KB,283.2813
Test_1_FileSize,338.0,KB,284.0625
Test_1_FileSize,339.0,KB,284.8438
Test_1_FileSize,340.0,KB,285.6250
Test_1_FileSize,341.0,KB,286.4063
Test_1_FileSize,342.0,KB,287.1875
Test_1_FileSize,343.0,KB,287.9688
Test_1_FileSize,344.0,KB,288.7500
Test_1_FileSize,345.0,KB,289.5312
Test_1_FileSize,346.0,KB,290.3125
Test_1_FileSize,347.0,KB,291.0938
Test_1_FileSize,348.0,KB,291.8750
Test_1_FileSize,349.0,KB,292.6562
Test_1_FileSize,350.0,KB,293.4375
Test_1_FileSize,351.0,KB,294.2188
Test_1_FileSize,352.0,KB,295.0000
Test_1_FileSize,353.0,KB,295.7812
Test_1_FileSize,354.0,KB,296.5625
Test_1_FileSize,355.0,KB,297.3438
Test_1_FileSize,356.0,KB,298.1250
Test_1_FileSize,357.0,KB,298.9063
Test_1_FileSize,358.0,KB,299.6875
Test_1_FileSize,359.0,KB,300.4688
Test_1_FileSize,360.0,KB,301.2500
Test_1_FileSize,361.0,KB,302.0313
Test_1_FileSize,362.0,KB,302.8125
Test_1_FileSize,363.0,KB,303.5938
Test_1_FileSize,364.0,KB,304.3750
Test_1_FileSize,365.0,KB,305.1562
Test_1_FileSize,366.0,KB,305.9375
Test_1_FileSize,367.0,KB,306.7188
Test_1_FileSize,368.0,KB,307.5000
Test_1_FileSize,369.0,KB,308.2812
Test_1_FileSize,370.0,KB,309.0625
Test_1_FileSize,371.0,KB,309.8438
Test_1_FileSize,372.0,KB,310.6250
Test_1_FileSize,373.0,KB,311.4062
Test_1_FileSize,374.0,KB,312.1875
Test_1_FileSize,375.0,KB,312.9688
Test_1_FileSize,376.0,KB,313.7500
Test_1_FileSize,377.0,KB,314.5313
Test_1_FileSize,378.0,KB,315.3125
Test_1_FileSize,379.0,KB,316.0938
Test_1_FileSize,380.0,KB,316.8750
Test_1_FileSize,381.0,KB,317.6563
Test_1_FileSize,382.0,KB,318.4375
Test_1_FileSize,383.0,KB,319.2188
Test_1_FileSize,384.0,KB,320.0000
Test_1_FileSize,385.0,KB,320.7812
Test_1_FileSize,386.0,KB,321.5625
Test_1_FileSize,387.0,KB,322.3438
Test_1_FileSize,388.0,KB,323.1250
Test_1_FileSize,389.0,KB,323.9062
Test_1_FileSize,390.0,KB,324.6875
Test_1_FileSize,391.0,KB,325.4688
Test_1_FileSize,392.0,KB,326.2500
Test_1_FileSize,393.0,KB,327.0312
Test_1_FileSize,394.0,KB,327.8125
Test_1_FileSize,395.0,KB,328.5938
Test_1_FileSize,396.0,KB,329.3750
Test_1_FileSize,397.0,KB,330.1563
Test_1_FileSize,398.0,KB,330.9375
Test_1_FileSize,399.0,KB,331.7188
Test_1_FileSize,400.0,KB,332.5000
Test_1_FileSize,401.0,KB,333.2813
Test_1_FileSize,402.0,KB,334.0625
Test_1_FileSize,403.0,KB,334.8438
Test_1_FileSize,404.0,KB,335.6250
Test_1_FileSize,405.0,KB,336.4062
Test_1_FileSize,406.0,KB,337.1875
Test_1_FileSize,407.0,KB,337.9688
Test_1_FileSize,408.0,KB,338.7500
Test_1_FileSize,409.0,KB,339.5312
Test_1_FileSize,410.0,KB,340.3125
Test_1_FileSize,411.0,KB,341.0938
Test_1_FileSize,412.0,KB,341.8750
Test_1_FileSize,413.0,KB,342.6562
Test_1_FileSize,414.0,KB,343.4375
Test_1_FileSize,415.0,KB,344.2188
Test_1_FileSize,416.0,KB,345.0000
Test_1_FileSize,417.0,KB,345.7813
Test_1_FileSize,418.0,KB,346.5625
Test_1_FileSize,419.0,KB,347.3438
Test_1_FileSize,420.0,KB,348.1250
Test_1_FileSize,421.0,KB,348.9063
Test_1_FileSize,422.0,KB,349.6875
Test_1_FileSize,423.0,KB,350.4688
Test_1_FileSize,424.0,KB,351.2500
Test_1_FileSize,425.0,KB,352.0312
Test_1_FileSize,426.0,KB,352.8125
Test_1_FileSize,427.0,KB,353.5938
Test_1_FileSize,428.0,KB,354.3750
Test_1_FileSize,429.0,KB,355.1562
Test_1_FileSize,430.0,KB,355.9375
Test_1_FileSize,431.0,KB,356.7188
Test_1_FileSize,432.0,KB,357.5000
Test_1_FileSize,433.0,KB,358.2812
Test_1_FileSize,434.0,KB,359.0625
Test_1_FileSize,435.0,KB,359.8438
Test_1_FileSize,436.0,KB,360.6250
Test_1_FileSize,437.0,KB,361.4063
Test_1_FileSize,438.0,KB,362.1875
Test_1_FileSize,439.0,KB,362.9688
Test_1_FileSize,440.0,KB,363.7500
Test_1_FileSize,441.0,KB,364.5313
Test_1_FileSize,442.0,KB,365.3125
Test_1_FileSize,443.0,KB,366.0938
Test_1_FileSize,444.0,KB,366.8750
Test_1_FileSize,445.0,KB,367.6562
Test_1_FileSize,446.0,KB,368.4375
Test_1_FileSize,447.0,KB,369.2188
Test_1_FileSize,448.0,KB,370.0000
Test_1_FileSize,449.0,KB,370.7812
Test_1_FileSize,450.0,KB,371.5625
Test_1_FileSize,451.0,KB,372.3438
Test_1_FileSize,452.0,KB,373.1250
Test_1_FileSize,453.0,KB,373.9062
Test_1_FileSize,454.0,KB,374.6875
Test_1_FileSize,455.0,KB,375.4688
Test_1_FileSize,456.0,KB,376.2500
Test_1_FileSize,457.0,KB,377.0313
Test_1_FileSize,458.0,KB,377.8125
Test_1_FileSize,459.0,KB,378.5938
Test_1_FileSize,460.0,KB,379.3750
Test_1_FileSize,461.0,KB,380.1563
Test_1_FileSize,462.0,KB,380.9375
Test_1_FileSize,463.0,KB,381.7188
Test_1_FileSize,464.0,KB,382.5000
Test_1_FileSize,465.0,KB,383.2812
Test_1_FileSize,466.0,KB,384.0625
Test_1_FileSize,467.0,KB,384.8438
Test_1_FileSize,468.0,KB,385.6250
Test_1_FileSize,469.0,KB,386.4062
Test_1_FileSize,470.0,KB,387.1875
Test_1_FileSize,471.0,KB,387.9688
Test_1_FileSize,472.0,KB,388.7500
Test_1_FileSize,473.0,KB,389.5312
Test_1_FileSize,474.0,KB,390.3125
Test_1_FileSize,475.0,KB,391.0938
Test_1_FileSize,476.0,KB,391.8750
Test_1_FileSize,477.0,KB,392.6563
Test_1_FileSize,478.0,KB,393.4375
Test_1_FileSize,479.0,KB,394.2188
Test_1_FileSize,480.0,KB,395.0000
Test_1_FileSize,481.0,KB,395.7813
Test_1_FileSize,482.0,KB,396.5625
Test_1_FileSize,483.0,KB,397.3438
Test_1_FileSize,484.0,KB,398.1250
Test_1_FileSize,485.0,KB,398.9062
Test_1_FileSize,486.0,KB,399.6875
Test_1_FileSize,487.0,KB,400.4688
Test_1_FileSize,488.0,KB,401.2500
Test_1_FileSize,489.0,KB,402.0312
Test_1_FileSize,490.0,KB,402.8125
Test_1_FileSize,491.0,KB,403.5938
Test_1_FileSize,492.0,KB,404.3750
Test_1_FileSize,493.0,KB,405.1562
Test_1_FileSize,494.0,KB,405.9375
Test_1_FileSize,495.0,KB,406.7188
Test_1_FileSize,496.0,KB,407.5000
Test_1_FileSize,497.0,KB,408.2813
Test_1_FileSize,498.0,KB,409.0625
Test_1_FileSize,499.0,KB,409.8438
Test_1_FileSize,500.0,KB,410.6250
Test_1_FileSize,501.0,KB,411.4063
Test_1_FileSize,502.0,KB,412.1875
Test_1_FileSize,503.0,KB,412.9688
Test_1_FileSize,504.0,KB,413.7500
Test_1_FileSize,505.0,KB,414.5312
Test_1_FileSize,506.0,KB,415.3125
Test_1_FileSize,507.0,KB,416.0938
Test_1_FileSize,508.0,KB,416.8750
Test_1_FileSize,509.0,KB,417.6562
Test_1_FileSize,510.0,KB,418.4375
Test_1_FileSize,511.0,KB,419.2188
Test_1_FileSize,512.0,KB,420.0000
Test_1_FileSize,513.0,KB,420.7812
Test_1_FileSize,514.0,KB,421.5625
Test_1_FileSize,515.0,KB,422.3438
Test_1_FileSize,516.0,KB,423.1250
Test_1_FileSize,517.0,KB,423.9063
Test_1_FileSize,518.0,KB,424.6875
Test_1_FileSize,519.0,KB,425.4688
Test_1_FileSize,520.0,KB,426.2500
Test_1_FileSize,521.0,KB,427.0313
Test_1_FileSize,522.0,KB,427.8125
Test_1_FileSize,523.0,KB,428.5938
Test_1_FileSize,524.0,KB,429.3750
Test_1_FileSize,525.0,KB,430.1562
Test_1_FileSize,526.0,KB,430.9375
Test_1_FileSize,527.0,KB,431.7188
Test_1_FileSize,528.0,KB,432.5000
Test_1_FileSize,529.0,KB,433.2812
Test_1_FileSize,530.0,KB,434.0625
Test_1_FileSize,531.0,KB,434.8438
Test_1_FileSize,532.0,KB,435.6250
Test_1_FileSize,533.0,KB,436.4062
Test_1_FileSize,534.0,KB,437.1875
Test_1_FileSize,535.0,KB,437.9688
Test_1_FileSize,536.0,KB,438.7500
Test_1_FileSize,537.0,KB,439.5313
Test_1_FileSize,538.0,KB,440.3125
Test_1_FileSize,539.0,KB,441.0938
Test_1_FileSize,540.0,KB,441.8750
Test_1_FileSize,541.0,KB,442.6563
Test_1_FileSize,542.0,KB,443.4375
Test_1_FileSize,543.0,KB,444.2188
Test_1_FileSize,544.0,KB,445.0000
Test_1_FileSize,545.0,KB,445.7812
Test_1_FileSize,546.0,KB,446.5625
Test_1_FileSize,547.0,KB,447.3438
Test_1_FileSize,548.0,KB,448.1250
Test_1_FileSize,549.0,KB,448.9062
Test_1_FileSize,550.0,KB,449.6875
Test_1_FileSize,551.0,KB,450.4688
Test_1_FileSize,552.0,KB,451.2500
Test_1_FileSize,553.0,KB,452.0312
Test_1_FileSize,554.0,KB,452.8125
Test_1_FileSize,555.0,KB,453.5938
Test_1_FileSize,556.0,KB,454.3750
Test_1_FileSize,557.0,KB,455.1563
Test_1_FileSize,558.0,KB,455.9375
Test_1_FileSize,559.0,KB,456.7188
Test_1_FileSize,560.0,KB,457.5000
Test_1_FileSize,561.0,KB,458.2813
Test_1_FileSize,562.0,KB,459.0625
Test_1_FileSize,563.0,KB,459.8438
Test_1_FileSize,564.0,KB,460.6250
Test_1_FileSize,565.0,KB,461.4062
Test_1_FileSize,566.0,KB,462.1875
Test_1_FileSize,567.0,KB,462.9688
Test_1_FileSize,568.0,KB,463.7500
Test_1_FileSize,569.0,KB,464.5312
Test_1_FileSize,570.0,KB,465.3125
Test_1_FileSize,571.0,KB,466.0938
Test_1_FileSize,572.0,KB,466.8750
Test_1_FileSize,573.0,KB,467.6562
Test_1_FileSize,574.0,KB,468.4375
Test_1_FileSize,575.0,KB,469.2188
Test_1_FileSize,576.0,KB,470.0000
Test_1_FileSize,577.0,KB,470.7813
Test_1_FileSize,578.0,KB,471.5625
Test_1_FileSize,579.0,KB,472.3438
Test_1_FileSize,580.0,KB,473.1250
Test_1_FileSize,581.0,KB,473.9063
Test_1_FileSize,582.0,KB,474.6875
Test_1_FileSize,583.0,KB,475.4688
Test_1_FileSize,584.0,KB,476.2500
Test_1_FileSize,585.0,KB,477.0312
Test_1_FileSize,586.0,KB,477.8125
Test_1_FileSize,587.0,KB,478.5938
Test_1_FileSize,588.0,KB,479.3750
Test_1_FileSize,589.0,KB,480.1562
Test_1_FileSize,590.0,KB,480.9375
Test_1_FileSize,591.0,KB,481.7188
Test_1_FileSize,592.0,KB,482.5000
Test_1_FileSize,593.0,KB,483.2812
Test_1_FileSize,594.0,KB,484.0625
Test_1_FileSize,595.0,KB,484.8438
Test_1_FileSize,596.0,KB,485.6250
Test_1_FileSize,597.0,KB,486.4063
Test_1_FileSize,598.0,KB,487.1875
Test_1_FileSize,599.0,KB,487.9688
Test_1_FileSize,600.0,KB,488.7500
Test_1_FileSize,601.0,KB,489.5313
Test_1_FileSize,602.0,KB,490.3125
Test_1_FileSize,603.0,KB,491.0938
Test_1_FileSize,604.0,KB,491.8750
Test_1_FileSize,605.0,KB,492.6562
Test_1_FileSize,606.0,KB,493.4375
Test_1_FileSize,607.0,KB,494.2188
Test_1_FileSize,608.0,KB,495.0000
Test_1_FileSize,609.0,KB,495.7812
Test_1_FileSize,610.0,KB,496.5625
Test_1_FileSize,611.0,KB,497.3438
Test_1_FileSize,612.0,KB,498.1250
Test_1_FileSize,613.0,KB,498.9062
Test_1_FileSize,614.0,KB,499.6875
Test_1_FileSize,615.0,KB,500.4688
Test_1_FileSize,616.0,KB,501.2500
Test_1_FileSize,617.0,KB,502.0313
Test_1_FileSize,618.0,KB,502.8125
Test_1_FileSize,619.0,KB,503.5937
Test_1_FileSize,620.0,KB,504.3750
Test_1_FileSize,621.0,KB,505.1562
Test_1_FileSize,622.0,KB,505.9375
Test_1_FileSize,623.0,KB,506.7188
Test_1_FileSize,624.0,KB,507.5000
Test_1_FileSize,625.0,KB,508.2812
Test_1_FileSize,626.0,KB,509.0625
Test_1_FileSize,627.0,KB,509.8438
Test_1_FileSize,628.0,KB,510.6250
